TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
3,사천,청소년,출장,16,관리자,1등급,20220502,M
3,사천,청소년,출장,16,관리자,1등급,20220502,M
3,사천,청소년,출장,17,관리자,2등급,20220502,M
2,증평,청소년,출장,17,관리자,참가증,20220502,M
1,목포,성인,출장,20,관리자,참가증,20220502,M
2,증평,청소년,출장,17,관리자,3등급,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,목포,청소년,출장,18,관리자,참가증,20220502,M
1,포천,유소년,출장,11,관리자,참가증,20220502,M
1,목포,성인,출장,21,관리자,참가증,20220502,M
1,목포,성인,출장,19,관리자,3등급,20220502,M
1,영암,성인,출장,19,관리자,참가증,20220502,M
1,영암,성인,출장,20,관리자,참가증,20220502,M
1,목포,성인,출장,19,관리자,참가증,20220502,M
3,사천,청소년,출장,15,관리자,2등급,20220502,M
1,사천,청소년,출장,17,관리자,참가증,20220502,F
3,사천,청소년,출장,17,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,3등급,20220502,M
1,원주,유소년,출장,12,관리자,2등급,20220502,M
1,목포,성인,출장,22,관리자,참가증,20220502,M
1,사천,청소년,출장,17,관리자,2등급,20220502,F
2,나주,청소년,출장,14,관리자,참가증,20220502,M
1,원주,청소년,출장,13,관리자,참가증,20220502,M
1,사천,청소년,출장,17,관리자,2등급,20220502,F
1,사천,청소년,출장,18,관리자,2등급,20220502,M
1,사천,청소년,출장,18,관리자,3등급,20220502,M
1,원주,유소년,출장,12,관리자,2등급,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,원주,청소년,출장,13,관리자,참가증,20220502,M
1,사천,청소년,출장,17,관리자,참가증,20220502,F
1,사천,청소년,출장,17,관리자,참가증,20220502,M
1,사천,청소년,출장,16,관리자,참가증,20220502,M
2,정읍,청소년,출장,16,관리자,참가증,20220502,F
2,제주,성인,출장,43,관리자,참가증,20220502,M
2,정읍,청소년,출장,17,관리자,참가증,20220502,F
1,제주,성인,출장,26,관리자,3등급,20220502,M
2,태백,청소년,출장,14,관리자,2등급,20220502,M
2,태백,청소년,출장,14,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,사천,청소년,출장,15,관리자,1등급,20220502,M
1,사천,청소년,출장,15,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,사천,청소년,출장,16,관리자,1등급,20220502,M
1,원주,유소년,출장,12,관리자,2등급,20220502,M
1,원주,청소년,출장,13,관리자,1등급,20220502,M
1,사천,청소년,출장,15,관리자,참가증,20220502,F
2,정읍,청소년,출장,18,관리자,참가증,20220502,F
1,연수,성인,출장,61,관리자,2등급,20220502,M
2,증평,청소년,출장,18,관리자,참가증,20220502,M
1,포천,유소년,출장,11,관리자,참가증,20220502,F
1,남구(울산),성인,일반,23,관리자,참가증,20220502,M
1,청주,성인,일반,19,관리자,3등급,20220502,M
1,KSPO송파,성인,일반,45,관리자,2등급,20220502,F
1,연수,성인,출장,29,관리자,3등급,20220502,F
1,KSPO아산(출장),성인,출장,22,관리자,3등급,20220502,M
4,강동,성인,일반,62,관리자,참가증,20220502,M
1,KSPO아산(출장),성인,출장,23,관리자,3등급,20220502,M
1,KSPO아산(출장),성인,출장,19,관리자,2등급,20220502,M
1,증평,청소년,출장,18,관리자,참가증,20220502,M
2,증평,청소년,출장,17,관리자,참가증,20220502,M
1,군산,청소년,출장,18,관리자,참가증,20220502,M
2,증평,청소년,출장,17,관리자,참가증,20220502,M
1,군산,성인,출장,25,관리자,참가증,20220502,M
2,증평,청소년,출장,17,관리자,참가증,20220502,M
1,군산,청소년,출장,18,관리자,참가증,20220502,F
1,동작,성인,일반,38,관리자,참가증,20220502,M
3,증평,청소년,출장,18,관리자,참가증,20220502,M
1,군산,성인,출장,19,관리자,참가증,20220502,F
12,세종,성인,일반,56,관리자,3등급,20220502,F
2,증평,청소년,출장,17,관리자,참가증,20220502,M
1,증평,청소년,출장,17,관리자,참가증,20220502,M
4,증평,청소년,출장,17,관리자,참가증,20220502,M
2,나주,청소년,출장,14,관리자,참가증,20220502,F
2,나주,청소년,출장,14,관리자,참가증,20220502,M
2,나주,청소년,출장,14,관리자,참가증,20220502,M
1,태백,청소년,출장,14,관리자,참가증,20220502,M
2,정읍,청소년,출장,17,관리자,참가증,20220502,F
2,정읍,청소년,출장,17,관리자,참가증,20220502,F
1,포천,유소년,출장,12,관리자,참가증,20220502,F
1,사천,청소년,출장,15,관리자,참가증,20220502,M
2,정읍,청소년,출장,17,관리자,참가증,20220502,F
2,정읍,청소년,출장,17,관리자,3등급,20220502,F
2,정읍,청소년,출장,18,관리자,참가증,20220502,F
1,강동,성인,일반,32,관리자,참가증,20220502,F
2,정읍,청소년,출장,16,관리자,2등급,20220502,F
1,정읍,청소년,출장,16,관리자,3등급,20220502,F
1,사천,청소년,출장,15,관리자,참가증,20220502,M
2,태백,청소년,출장,14,관리자,3등급,20220502,M
1,서구(대전),성인,일반,19,관리자,3등급,20220502,M
15,익산,성인,출장,20,관리자,참가증,20220502,M
9,익산,청소년,출장,18,관리자,3등급,20220502,F
4,증평,청소년,출장,18,관리자,참가증,20220502,M
4,익산,성인,출장,19,관리자,참가증,20220502,F
2,동구(광주),성인,출장,22,관리자,참가증,20220502,M
1,KSPO아산(출장),성인,출장,19,관리자,1등급,20220502,F
2,증평,청소년,출장,18,관리자,참가증,20220502,M
8,익산,청소년,출장,18,관리자,참가증,20220502,F
7,익산,청소년,출장,18,관리자,1등급,20220502,M
1,경산,성인,일반,19,관리자,3등급,20220502,M
1,동구(광주),성인,출장,20,관리자,참가증,20220502,M
1,익산,청소년,출장,18,관리자,2등급,20220502,M
1,연수,성인,출장,28,관리자,3등급,20220502,M
1,포천,유소년,출장,11,관리자,참가증,20220502,F
1,포항,성인,일반,56,인바디,참가증,20220502,F
4,동구(광주),성인,출장,20,관리자,참가증,20220502,F
9,익산,청소년,출장,18,관리자,참가증,20220502,M
2,남원,성인,일반,20,관리자,2등급,20220502,M
7,익산,성인,출장,19,관리자,참가증,20220502,F
1,동구(광주),성인,출장,20,관리자,3등급,20220502,F
1,연수,성인,출장,29,관리자,참가증,20220502,M
1,익산,성인,출장,19,관리자,참가증,20220502,F
6,익산,청소년,출장,18,관리자,2등급,20220502,F
1,동구(인천),청소년,출장,17,관리자,1등급,20220502,M
1,동구(광주),성인,출장,19,관리자,참가증,20220502,F
1,창원,성인,일반,19,관리자,참가증,20220502,M
1,태백,청소년,출장,15,관리자,참가증,20220502,M
2,태백,청소년,출장,14,관리자,참가증,20220502,M
1,영암,청소년,출장,18,관리자,참가증,20220502,M
1,사천,청소년,출장,16,관리자,1등급,20220502,M
1,성동,유소년,일반,12,관리자,참가증,20220502,M
2,태백,청소년,출장,15,관리자,참가증,20220502,F
1,태백,청소년,출장,14,관리자,참가증,20220502,F
1,사천,청소년,출장,15,관리자,참가증,20220502,F
1,사천,청소년,출장,16,관리자,3등급,20220502,F
1,영암,성인,출장,28,관리자,3등급,20220502,M
1,사천,청소년,출장,15,관리자,참가증,20220502,M
1,영암,청소년,출장,18,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,태백,청소년,출장,14,관리자,참가증,20220502,F
1,동작,노인,일반,68,관리자,참가증,20220502,M
1,영암,청소년,출장,18,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,원주,청소년,출장,13,관리자,참가증,20220502,M
1,원주,유소년,출장,12,관리자,참가증,20220502,M
1,사천,청소년,출장,17,관리자,3등급,20220502,F
2,곡성,청소년,출장,18,관리자,참가증,20220502,M
1,사천,청소년,출장,18,관리자,3등급,20220502,F
