TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
4,정읍,성인,일반,24,관리자,3등급,20220401,M
1,남구(부산),유소년,출장,12,관리자,참가증,20220401,F
1,남구(부산),유소년,출장,11,관리자,참가증,20220401,F
1,제주,청소년,일반,18,관리자,참가증,20220401,M
1,나주,청소년,출장,18,관리자,참가증,20220401,M
1,나주,청소년,출장,18,관리자,참가증,20220401,M
1,나주,청소년,출장,18,관리자,1등급,20220401,F
1,신안,성인,일반,55,관리자,2등급,20220401,M
1,오산,노인,일반,67,관리자,참가증,20220401,M
1,수원,청소년,출장,13,관리자,2등급,20220401,F
1,동작,성인,일반,20,관리자,2등급,20220401,F
2,부천,청소년,출장,16,관리자,참가증,20220401,M
1,수원,청소년,출장,14,관리자,참가증,20220401,M
1,KSPO송파(출장A),유소년,출장,11,관리자,참가증,20220401,F
3,KSPO광주,성인,일반,20,관리자,3등급,20220401,M
1,KSPO송파(출장A),유소년,출장,11,관리자,참가증,20220401,F
1,창원,청소년,일반,18,관리자,참가증,20220401,F
3,경산,성인,일반,21,관리자,2등급,20220401,F
1,서구(대전),성인,일반,24,관리자,1등급,20220401,F
2,충주,청소년,출장,15,관리자,참가증,20220401,M
1,KSPO광주(출장),청소년,출장,15,관리자,참가증,20220401,F
1,KSPO송파,성인,일반,53,관리자,1등급,20220401,F
1,서구(광주),청소년,출장,15,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
3,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
1,창원,성인,일반,33,관리자,3등급,20220401,F
2,전주,청소년,출장,17,관리자,참가증,20220401,F
2,전주,청소년,출장,16,관리자,참가증,20220401,F
2,전주,청소년,출장,16,관리자,1등급,20220401,F
3,전주,청소년,출장,17,관리자,참가증,20220401,F
2,전주,청소년,출장,16,관리자,참가증,20220401,F
2,전주,청소년,출장,16,관리자,참가증,20220401,F
1,시흥,성인,일반,19,관리자,3등급,20220401,M
4,서구(광주),청소년,출장,18,관리자,참가증,20220401,M
1,계룡,유소년,출장,12,관리자,참가증,20220401,M
1,계룡,유소년,출장,12,관리자,참가증,20220401,M
1,계룡,유소년,출장,12,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,18,관리자,참가증,20220401,M
2,전주,청소년,출장,17,관리자,참가증,20220401,F
1,양평,성인,일반,48,,참가증,20220401,F
1,KSPO송파,성인,일반,21,,참가증,20220401,M
4,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
1,영동,청소년,출장,13,관리자,1등급,20220401,M
1,서초,노인,출장,86,관리자,3등급,20220401,F
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,서초,노인,출장,68,관리자,3등급,20220401,F
1,정읍,성인,일반,26,,참가증,20220401,M
1,정읍,성인,일반,26,,참가증,20220401,M
5,중구(서울),노인,일반,71,,2등급,20220401,M
1,수원,청소년,출장,13,관리자,3등급,20220401,M
1,광주,청소년,일반,18,관리자,참가증,20220401,M
1,KSPO송파,청소년,일반,18,,2등급,20220401,M
4,서대문,성인,일반,20,,2등급,20220401,F
1,수원,유소년,출장,12,관리자,참가증,20220401,F
2,정읍,성인,일반,20,관리자,2등급,20220401,M
1,수원,유소년,출장,12,관리자,참가증,20220401,M
2,충주,청소년,출장,15,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,18,관리자,참가증,20220401,M
2,충주,청소년,출장,16,관리자,3등급,20220401,M
3,충주,청소년,출장,15,관리자,참가증,20220401,M
1,KSPO광주(출장),청소년,출장,15,관리자,참가증,20220401,F
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,마포,성인,일반,22,관리자,참가증,20220401,M
2,화성,성인,일반,46,관리자,3등급,20220401,F
2,충주,청소년,출장,15,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
1,연수,성인,일반,19,,3등급,20220401,M
2,충주,청소년,출장,15,관리자,참가증,20220401,M
2,충주,청소년,출장,16,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
2,충주,청소년,출장,15,관리자,3등급,20220401,M
2,충주,청소년,출장,15,관리자,2등급,20220401,M
1,서초,노인,출장,71,관리자,3등급,20220401,M
2,충주,청소년,출장,15,관리자,3등급,20220401,M
1,영동,청소년,출장,13,관리자,참가증,20220401,F
2,충주,청소년,출장,15,관리자,참가증,20220401,M
2,충주,청소년,출장,15,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
1,부천,청소년,출장,16,관리자,참가증,20220401,F
4,서구(광주),청소년,출장,16,관리자,참가증,20220401,M
2,충주,청소년,출장,16,관리자,3등급,20220401,M
4,사상,성인,일반,32,관리자,1등급,20220401,M
1,충주,청소년,출장,15,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,16,관리자,3등급,20220401,M
1,충주,청소년,출장,15,관리자,참가증,20220401,M
1,충주,청소년,출장,15,관리자,1등급,20220401,M
4,서구(광주),청소년,출장,18,관리자,참가증,20220401,M
1,KSPO광주(출장),청소년,출장,17,관리자,참가증,20220401,M
1,충주,청소년,출장,15,관리자,3등급,20220401,M
1,충주,청소년,출장,15,관리자,3등급,20220401,M
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,18,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,안산,성인,일반,19,관리자,참가증,20220401,F
4,서구(광주),청소년,출장,18,관리자,참가증,20220401,M
1,나주,성인,출장,21,관리자,참가증,20220401,M
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,충주,청소년,출장,15,관리자,3등급,20220401,M
3,동작,성인,일반,19,관리자,3등급,20220401,M
1,동구(광주),청소년,일반,18,관리자,참가증,20220401,F
1,충주,청소년,출장,16,관리자,참가증,20220401,M
2,나주,성인,출장,19,관리자,2등급,20220401,M
1,충주,청소년,출장,15,관리자,참가증,20220401,M
1,동작,성인,일반,28,관리자,3등급,20220401,F
4,서구(광주),청소년,출장,18,관리자,3등급,20220401,M
1,남구(부산),유소년,출장,11,관리자,참가증,20220401,M
1,나주,성인,출장,19,관리자,참가증,20220401,M
3,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,나주,청소년,출장,18,관리자,참가증,20220401,M
1,서초,노인,출장,73,관리자,3등급,20220401,F
1,삼척,성인,일반,22,관리자,참가증,20220401,M
1,KSPO송파(출장A),유소년,출장,11,관리자,3등급,20220401,F
4,서구(광주),청소년,출장,17,관리자,참가증,20220401,M
1,서구(대전),성인,일반,32,관리자,3등급,20220401,M
1,수원,청소년,출장,14,관리자,참가증,20220401,F
1,KSPO송파(출장A),유소년,출장,11,관리자,참가증,20220401,M
4,익산,청소년,출장,18,관리자,참가증,20220401,F
1,남구(부산),유소년,출장,12,관리자,참가증,20220401,F
1,마포,성인,일반,58,관리자,3등급,20220401,F
1,천안,성인,일반,61,관리자,참가증,20220401,F
1,남구(부산),유소년,출장,11,관리자,참가증,20220401,F
1,창원,성인,일반,29,관리자,3등급,20220401,F
1,KSPO송파(출장A),유소년,출장,11,관리자,참가증,20220401,F
3,익산,성인,출장,19,관리자,2등급,20220401,M
1,성동,노인,일반,75,관리자,2등급,20220401,M
1,KSPO송파(출장A),유소년,출장,11,관리자,참가증,20220401,F
1,KSPO송파,성인,일반,37,관리자,3등급,20220401,M
1,의정부,성인,일반,19,관리자,2등급,20220401,M
5,무안,성인,일반,24,관리자,참가증,20220401,M
5,익산,청소년,출장,18,관리자,참가증,20220401,F
3,익산,성인,출장,19,관리자,1등급,20220401,M
9,익산,성인,출장,19,관리자,참가증,20220401,M
1,전주,청소년,출장,16,관리자,참가증,20220401,F
1,KSPO송파,성인,일반,59,관리자,2등급,20220401,M
1,KSPO아산,성인,출장,61,관리자,참가증,20220401,F
1,서구(광주),청소년,출장,15,관리자,참가증,20220401,M
2,전주,청소년,출장,16,관리자,3등급,20220401,F
