CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,MBER_CO,FOND_DE
,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20211021
보디빌딩피지크,경상북도,경상북도 구미시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20211105
(사)창원요트클럽,경상남도,경상남도 창원시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200616
(사)예산스포츠클럽,충청남도,충청남도 예산군,조정,공공스포츠클럽,"19세이하부,20세이상부",남성,19,20210708
굿,전라북도,전라북도 전주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20200106
둠,경기도,경기도 과천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,29,20200109
맥,대구광역시,대구광역시 중구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20200101
수,제주특별자치도,제주특별자치도 서귀포시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,14,20211022
학,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20200220
흙,광주광역시,광주광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201228
샵 수사랑,경기도,경기도 수원시 권선구,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210311
팀 모비딕,울산광역시,울산광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20190410
팀 사랑해,경기도,경기도 김포시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210412
팀 아미고,경상남도,경상남도 통영시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200724
팀 친구들,경상남도,경상남도 통영시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201005
팀 플렉스,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20211024
팀 머슬맥스,전라남도,전라남도 목포시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210218
닉 스쿼시클럽,대구광역시,대구광역시 북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20201117
가온,전라남도,전라남도 목포시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200105
가온,전라북도,전라북도 전주시 완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,13,20200117
굴림,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,14,20211022
굿샷,울산광역시,울산광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20190410
